Word,Kata Muncul,IDF Divider
pasir,152,2.9824870468039704
jalan,200,2.70805020110221
rujak,19,5.061928588483807
luas,155,2.962942450731
bayar,91,3.4955080611333966
pop,1,8.006367567650246
orang,107,3.3335387331883406
ribu,27,4.710530701645918
beli,34,4.480007043034085
bersih,341,2.17448509036673
putih,112,3.287868696355152
kuda,46,4.177726171161152
mie,4,6.620073206530356
pantai,576,1.6502599069543555
sewa,21,4.961845129926823
mandi,54,4.017383521085972
keluarga,132,3.123565645063876
gazebo,9,5.809142990314028
sumenep,113,3.278979748937906
kamar,45,4.199705077879927
wisata,350,2.1484344131667874
cocok,143,3.0435229373903394
pekan,3,6.907755278982137
fasilitas,109,3.315019685421103
jual,56,3.9810158769150976
makan,218,2.6218725048611575
toilet,65,3.8319802977546096
pohon,62,3.879233182605155
spot,82,3.5996483203859935
cemaraa,2,7.313220387090301
rindang,16,5.233778845410465
khas,55,3.9990343824177756
kantin,2,7.313220387090301
sedia,56,3.9810158769150976
main,53,4.036075654098125
bagus,698,1.4581484648878744
buanyaakkkkkkkk,1,8.006367567650246
lokasi,116,3.2527773765438823
harga,105,3.3524072174927233
jangkau,38,4.368781407923861
luassss,1,8.006367567650246
sejuk,52,4.05512384906882
lombang,25,4.787491742782046
samapi,1,8.006367567650246
orng,3,6.907755278982137
disnaa,1,8.006367567650246
tingkat,36,4.422848629194137
ramah,63,3.8632328412587142
tidur,6,6.214608098422191
hehehe,5,6.396929655216146
mkananya,1,8.006367567650246
banget,229,2.572645564096007
udang,39,4.3428059215206005
cantik,28,4.674163057475043
cemara,67,3.8016749482592807
adem,13,5.44141821018871
klapa,1,8.006367567650246
parkir,211,2.65450943417418
mantap,78,3.649658740960655
ijo,1,8.006367567650246
tunggul,1,8.006367567650246
rapi,10,5.703782474656201
murah,91,3.4955080611333966
masuk,199,2.7130627429257546
santai,18,5.115995809754082
weekday,3,6.907755278982137
lumayan,154,2.9694149652366177
duduk,33,4.509860006183766
mobil,60,3.912023005428146
sepi,62,3.879233182605155
tiket,98,3.421400088979675
ekspektasi,4,6.620073206530356
view,47,4.156219965940188
laut,117,3.2441936328524905
nikmat,52,4.05512384906882
indah,277,2.3823500614629083
aman,25,4.787491742782046
ngebayangin,1,8.006367567650246
puas,13,5.44141821018871
neduh,1,8.006367567650246
panas,131,3.131170244449095
atas,13,5.44141821018871
madura,245,2.50510935710552
ramai,88,3.5290307531720404
bonus,4,6.620073206530356
lupa,30,4.605170185988092
kasih,23,4.870873351721097
naik,3,6.907755278982137
asli,22,4.915325114291931
kenang,13,5.44141821018871
bintang,4,6.620073206530356
jawa,21,4.961845129926823
oke,16,5.233778845410465
timur,21,4.961845129926823
nganjuk,1,8.006367567650246
tenang,54,4.017383521085972
utara,18,5.115995809754082
ombak,56,3.9810158769150976
tengah,5,6.396929655216146
condong,1,8.006367567650246
benam,8,5.926926025970411
matahari,19,5.061928588483807
terbit,3,6.907755278982137
buang,17,5.173154223594031
bungkus,5,6.396929655216146
unjung,84,3.575550768806933
lain,9,5.809142990314028
terap,1,8.006367567650246
sampah,82,3.5996483203859935
semberangan,1,8.006367567650246
pinggir,48,4.135166556742356
popmie,1,8.006367567650246
kotor,67,3.8016749482592807
minim,11,5.608472294851876
enak,181,2.807870536384421
instan,1,8.006367567650246
destinasi,47,4.156219965940188
pulau,88,3.5290307531720404
ditumbuhin,1,8.006367567650246
jadi,24,4.8283137373023015
lembut,13,5.44141821018871
hampar,18,5.115995809754082
layak,11,5.608472294851876
ujung,12,5.521460917862246
iya,74,3.702302474446077
jajan,6,6.214608098422191
wahana,12,5.521460917862246
pendopo,2,7.313220387090301
jaga,48,4.135166556742356
tetep,8,5.926926025970411
moga,53,4.036075654098125
management,2,7.313220387090301
kumpul,4,6.620073206530356
bilang,18,5.115995809754082
nyaman,165,2.900422093749666
minggu,6,6.214608098422191
kunjung,143,3.0435229373903394
kondisi,16,5.233778845410465
santa,14,5.367310238034988
area,55,3.9990343824177756
saran,41,4.292795500945939
awat,81,3.611918412977808
coba,29,4.639071737663773
anak,51,4.074541934925921
sana,36,4.422848629194137
watching,5,6.396929655216146
lalu,2,7.313220387090301
org,16,5.233778845410465
now,5,6.396929655216146
nya,244,2.5091993423570447
wc,7,6.060457418594933
pinus,2,7.313220387090301
lancar,5,6.396929655216146
pas,114,3.270169119255751
kena,23,4.870873351721097
weekend,9,5.809142990314028
mulus,3,6.907755278982137
rb,65,3.8319802977546096
piknik,7,6.060457418594933
tepat,11,5.608472294851876
daya,6,6.214608098422191
kota,41,4.292795500945939
kabupaten,47,4.156219965940188
arah,22,4.915325114291931
pulang,18,5.115995809754082
foto,144,3.036554268074246
lubang,5,6.396929655216146
kesana,63,3.8632328412587142
jam,43,4.245167451956684
an,24,4.8283137373023015
salah,104,3.361976668508874
standar,10,5.703782474656201
pilih,20,5.0106352940962555
baju,6,6.214608098422191
kenal,31,4.5723803631651005
keliling,12,5.521460917862246
bikin,28,4.674163057475043
hutan,6,6.214608098422191
siang,46,4.177726171161152
terik,11,5.608472294851876
mati,12,5.521460917862246
tunjang,2,7.313220387090301
air,264,2.4304184645039304
musholla,23,4.870873351721097
rusak,18,5.115995809754082
wushu,1,8.006367567650246
kuta,4,6.620073206530356
surfing,2,7.313220387090301
bal,9,5.809142990314028
woooww,1,8.006367567650246
cenderung,10,5.703782474656201
hindar,4,6.620073206530356
kedai,2,7.313220387090301
season,2,7.313220387090301
padat,3,6.907755278982137
opsi,2,7.313220387090301
kayak,17,5.173154223594031
sayang,118,3.235682943184582
sera,13,5.44141821018871
depan,20,5.0106352940962555
baik,39,4.3428059215206005
sih,65,3.8319802977546096
gitu,21,4.961845129926823
kelola,83,3.587526959853649
kurang,16,5.233778845410465
suasana,81,3.611918412977808
hijau,11,5.608472294851876
warga,29,4.639071737663773
rekreasi,22,4.915325114291931
bawa,46,4.177726171161152
jajah,3,6.907755278982137
bonsai,6,6.214608098422191
wajib,30,4.605170185988092
burung,1,8.006367567650246
kicau,1,8.006367567650246
milir,4,6.620073206530356
pesona,14,5.367310238034988
slopeng,26,4.748271029628765
asri,35,4.451019506160833
angin,15,5.298317366548036
suara,3,6.907755278982137
tarik,77,3.6625621457965627
pkek,1,8.006367567650246
wktu,2,7.313220387090301
akses,85,3.56371631115993
maps,4,6.620073206530356
google,10,5.703782474656201
rusakk,1,8.006367567650246
pada,19,5.061928588483807
kesasar,2,7.313220387090301
bebas,8,5.926926025970411
sunrise,2,7.313220387090301
lihat,31,4.5723803631651005
sepiii,2,7.313220387090301
kereeennn,2,7.313220387090301
subhanallah,8,5.926926025970411
karcis,28,4.674163057475043
pantau,2,7.313220387090301
dg,41,4.292795500945939
tempat,270,2.407945608651872
bilas,2,7.313220387090301
pandang,147,3.0159349808715104
wajar,6,6.214608098422191
gak,95,3.452490676049706
udh,11,5.608472294851876
kalah,11,5.608472294851876
bau,15,5.298317366548036
gk,28,4.674163057475043
deh,24,4.8283137373023015
lestari,7,6.060457418594933
jamin,5,6.396929655216146
sahabat,10,5.703782474656201
baget,2,7.313220387090301
yogyakarta,1,8.006367567650246
harap,13,5.44141821018871
pemkab,6,6.214608098422191
bak,1,8.006367567650246
kali,57,3.9633162998156966
letak,29,4.639071737663773
suka,49,4.11454726953962
muas,14,5.367310238034988
kesini,113,3.278979748937906
senang,41,4.292795500945939
pagi,33,4.509860006183766
buka,18,5.115995809754082
private,3,6.907755278982137
beach,8,5.926926025970411
warung,33,4.509860006183766
asa,7,6.060457418594933
lembang,1,8.006367567650246
libur,87,3.540459448995663
silah,3,6.907755278982137
wisatawan,30,4.605170185988092
badan,3,6.907755278982137
bejemur,1,8.006367567650246
tuk,3,6.907755278982137
lengkap,40,4.31748811353631
panorama,9,5.809142990314028
